"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"RP3-395M20.12:ENSG00000272449",11.9088922730279,-2.499226874787,0.383093564682627,8.3887456460075e-12,3.66407143735233e-11
"DAAM2",1613.74317906105,-1.56421596884696,0.235056596162906,8.64337178406468e-12,3.77144518419907e-11
"EMX2OS",530.754497597914,-1.3037943456906,0.195026378793377,8.82945665383328e-12,3.84872370269694e-11
"HES4",27.521625583658,-2.40141917070815,0.366426237396067,8.94600430056226e-12,3.89873343175988e-11
"CARD9",124.818093988084,-1.54250516010517,0.232050962800507,9.02998893866407e-12,3.93213638607044e-11
"F2R",671.040320380666,1.20419360085287,0.180636777604095,9.23655343900743e-12,4.02045186552084e-11
"SGCA",234.963785132671,-2.19623868539494,0.333701501773721,9.33921236752224e-12,4.06266163330839e-11
"C12orf50",6.71307750686497,-2.84276987799986,0.457826702998884,9.38680336050798e-12,4.08253564175665e-11
"SUB1",2611.23028961296,1.06547417136892,0.159373068730526,9.4319737472636e-12,4.10051710598582e-11
"PSMA6",1578.28421070258,1.19807348545974,0.18022406167109,9.45292038049671e-12,4.10879015443492e-11
"ABLIM3",680.886273119605,-1.24140842608019,0.185645201906345,9.53350170883958e-12,4.1421354576436e-11
"HRH2",154.700904303358,1.51256319641382,0.228805145370139,9.84825016352486e-12,4.27455540208239e-11
"NAV2",1268.46497159934,-1.17272730372837,0.175317459309044,9.89056030061413e-12,4.29118175957617e-11
"LINC00639",83.4433618068001,-1.97920864562204,0.300513020700277,9.98770391653424e-12,4.33157543591822e-11
"TGFB3",1003.46240549849,-1.45061089787771,0.218757502698201,1.00490232505945e-11,4.35640605440923e-11
"PYHIN1",131.063226266453,2.12348285613026,0.326627156194425,1.01532876874926e-11,4.39982642551616e-11
"SEMA3G",665.784248740552,-1.84550064417018,0.279628674497756,1.02410177266663e-11,4.43694628938019e-11
"KB-1592A4.15:ENSG00000197210",7.17301221077366,-3.66154162927704,0.563904828256416,1.04260397349039e-11,4.5143698916807e-11
"LACTB2",207.385838196803,1.05787851229719,0.157977331437302,1.04622965503849e-11,4.52876523704073e-11
"KLRK1",239.315711491765,1.68641088135537,0.256582627589379,1.05640529122487e-11,4.57043492265294e-11
"MAPK11",268.477380591035,-1.63044101889902,0.246512174382581,1.05700037721434e-11,4.57208659633398e-11
"LOC100652768",43.7711027567461,-1.31755923992709,0.197761233904818,1.06894951183435e-11,4.62004333275773e-11
"AK022915",591.647100872842,1.06092718023796,0.158957798938979,1.07611047800514e-11,4.64936856329783e-11
"HJURP",56.9598372116333,2.1696452957694,0.346452926931598,1.07616840584708e-11,4.64936856329783e-11
"RBM20",59.771974850297,-2.23014258330084,0.339869848341191,1.08133315793649e-11,4.66979922910594e-11
