"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezid"
"GEN1",541.753323771643,1.78721600651586,0.181853825898699,1.79989055347898e-23,3.29436842294747e-22,"348654"
"LRRC8C",2231.06363490356,1.10324337418512,0.111394306783881,1.86438751541458e-23,3.40950662268606e-22,"84230"
"CLEC4D",44.2497761479543,4.34304897556682,0.464349700492659,1.95711389390185e-23,3.56085077147694e-22,"338339"
"SCYL2",1531.52931167624,1.15204182147491,0.116637389060023,2.02990523941895e-23,3.69015767569689e-22,"55681"
"CLEC4E",90.3138753597478,3.56218982739336,0.366412533893739,2.05293104338886e-23,3.72569610947954e-22,"26253"
"KIF14",103.348485151892,2.83220528509489,0.289502392881178,2.05470087726802e-23,3.72575329124243e-22,"9928"
"PNOC",43.7548441330059,7.59806089256089,0.828486879257075,2.12861373598373e-23,3.85325829420096e-22,"5368"
"PLA2G2D",200.410218644356,5.16798738398107,0.540685031531273,2.21943664451908e-23,4.0108925465411e-22,"26279"
"DERL1",1708.33705036417,1.01280855575758,0.102415371106778,2.40498985964505e-23,4.32434124679299e-22,"79139"
"DSC2",931.695220241162,1.71161084980183,0.174977711724589,2.45788488085234e-23,4.41204745823352e-22,"1824"
"PNP",997.213242237884,1.67851508583338,0.173549502797689,2.64501994536047e-23,4.7202924636895e-22,"4860"
"TNFAIP6",3710.31932904692,3.55777900895846,0.370116835648199,2.71398902528156e-23,4.83934498992177e-22,"7130"
"NFE2L3",478.459609820744,2.34689567602902,0.242129314708165,3.2738332440655e-23,5.7799067479453e-22,"9603"
"CD53",2589.51522928189,2.15243360461931,0.222123083953308,3.48889410899575e-23,6.14440981414181e-22,"963"
"OSBPL3",1687.1327532386,1.27899748102301,0.130672911938401,3.51888375915648e-23,6.19213757060762e-22,"26031"
"KIF18A",72.0535691072168,2.14095649447478,0.217693060333067,3.67780579841817e-23,6.46648167986026e-22,"81930"
"CXCR2",234.623203047512,4.10967438017215,0.424237216571599,3.86478573360618e-23,6.78410750437192e-22,"3579"
"CDC6",127.206289837907,2.17976104189981,0.224312926811994,3.96177352854551e-23,6.9316483295768e-22,"990"
"MELK",66.5662923086635,2.93115446150724,0.303312757514849,4.26208144095009e-23,7.4147071042113e-22,"9833"
"IL8",524.350022574961,5.73642570886581,0.542088954287436,4.6912107836766e-23,8.10207258070432e-22,NA
